
(0 行受影响)
DatbaseName                                                                                                                      SchemaName                                                                                                                       TableName                                                                                                                        IndexName
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Decision_Date
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Decision_Reason
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Expiry_Minutes
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Field_Error_Flag
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Fraud_Alert
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Fraud_Alert_Team
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Fraud_Alert_User_Id
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Fraud_Savings_Flag
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Fraud_Score
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Load_Date
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Load_Mode
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Load_Start_Time
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Lock_Flag
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Lock_Userid
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Number_Matches
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Organisation
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Random_Number
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Scorecard_Score
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Update_Number
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_User_Field1
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_User_Field2
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_User_Field3
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_User_Field4
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_User_Field5
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_User_Field6
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_User_Field7
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_User_Field8
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_User_Id
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Application                                                                                                                    IX_C_Application_Warning_Minutes
InstinctDRC                                                                                                                      dbo                                                                                                                              C_CBA                                                                                                                            IX_C_CBA_Full_Home_Address
InstinctDRC                                                                                                                      dbo                                                                                                                              C_CBA                                                                                                                            IX_C_CBA_Full_Name
InstinctDRC                                                                                                                      dbo                                                                                                                              C_CBA                                                                                                                            PK_C_CBA
InstinctDRC                                                                                                                      dbo                                                                                                                              C_CBB                                                                                                                            PK_C_CBB
InstinctDRC                                                                                                                      dbo                                                                                                                              C_CBC                                                                                                                            PK_C_CBC
InstinctDRC                                                                                                                      dbo                                                                                                                              C_CreditBureau                                                                                                                   IX_C_CreditBureau_Full_Home_Address
InstinctDRC                                                                                                                      dbo                                                                                                                              C_CreditBureau                                                                                                                   IX_C_CreditBureau_Full_Name
InstinctDRC                                                                                                                      dbo                                                                                                                              C_CreditBureau                                                                                                                   IX_C_CreditBureau_Sequence_Number
InstinctDRC                                                                                                                      dbo                                                                                                                              C_CreditBureau                                                                                                                   PK_C_CreditBureau
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Diary_Notes                                                                                                                    C_Diary_Notes_Index_Key
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Diary_Notes                                                                                                                    IX_User_Id
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Guarantor                                                                                                                      IX_C_Guarantor_Company_Name
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Guarantor                                                                                                                      IX_C_Guarantor_Full_Company_Address
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Guarantor                                                                                                                      IX_C_Guarantor_Full_Home_Address
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Guarantor                                                                                                                      IX_C_Guarantor_Full_Name
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Guarantor                                                                                                                      IX_C_Guarantor_Home_Phone_Number
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Guarantor                                                                                                                      IX_C_Guarantor_Mobile_Phone_Number
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Guarantor                                                                                                                      IX_C_Guarantor_Sequence_Number
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Guarantor                                                                                                                      IX_C_Guarantor_Surname
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Guarantor                                                                                                                      IX_C_Guarantor_User_Field1
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Introducer_Agent                                                                                                               IX_C_Introducer_Agent_Full_Company_Address
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Introducer_Agent                                                                                                               IX_C_Introducer_Agent_Full_Name
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Introducer_Agent                                                                                                               IX_C_Introducer_Agent_Id_Number1
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Introducer_Agent                                                                                                               IX_C_Introducer_Agent_Id_Number2
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Introducer_Agent                                                                                                               PK_C_Introducer_Agent
InstinctDRC                                                                                                                      dbo                                                                                                                              C_PreviousAddress_Company                                                                                                        IX_C_PreviousAddress_Company_Full_Company_Address
InstinctDRC                                                                                                                      dbo                                                                                                                              C_PreviousAddress_Company                                                                                                        IX_C_PreviousAddress_Company_Full_Home_Address
InstinctDRC                                                                                                                      dbo                                                                                                                              C_PreviousAddress_Company                                                                                                        PK_C_PreviousAddress_Company
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Reference                                                                                                                      IX_C_Reference_Full_Home_Address
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Reference                                                                                                                      IX_C_Reference_Full_Name
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Reference                                                                                                                      IX_C_Reference_Sequence_Number
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Reference                                                                                                                      IX_C_Reference_User_Field1
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Reference                                                                                                                      IX_C_Reference_User_Field2
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Reference                                                                                                                      PK_C_Reference
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Security                                                                                                                       IX_C_Security_First_Name
InstinctDRC                                                                                                                      dbo                                                                                                                              C_Security                                                                                                                       IX_C_Security_Full_Home_Address
